date,symbol,log_return_pred,log_return_actual,signal,strategy_return,position_change,transaction_cost,net_return,cumulative_return
2013-04-01,721001,-0.0016363254,-0.0009178522902288858,0,-0.0,0.0,0.0,-0.0,0.8965757353614443
2013-04-02,721001,-0.006137843,,0,,0.0,0.0,,
2013-04-03,721001,-0.0015175082,,0,,0.0,0.0,,
2013-04-04,721001,-0.0050667836,,0,,0.0,0.0,,
2013-04-05,721001,-0.0019685663,,0,,0.0,0.0,,
2013-04-08,721001,0.0032196294,-0.018727139050697762,1,-0.018727139050697762,1.0,0.001,-0.019727139050697763,0.8788888611604875
2013-04-10,721001,-0.0017422737,0.0028315261957383604,0,0.0,1.0,0.001,-0.001,0.878009972299327
2013-04-11,721001,-0.0018543765,0.0,0,0.0,0.0,0.0,0.0,0.878009972299327
2013-04-12,721001,-0.00064396014,0.0,0,0.0,0.0,0.0,0.0,0.878009972299327
2013-04-15,721001,-0.0017257269,0.0,0,0.0,0.0,0.0,0.0,0.878009972299327
2013-04-16,721001,-0.0003504061,-0.000942951507870236,0,-0.0,0.0,0.0,-0.0,0.878009972299327
2013-04-17,721001,-0.00046785918,0.0,0,0.0,0.0,0.0,0.0,0.878009972299327
2013-04-18,721001,0.00024103193,-0.019048194970694363,1,-0.019048194970694363,1.0,0.001,-0.020048194970694364,0.8604074571884561
2013-04-19,721001,-0.0020702232,0.0,0,0.0,1.0,0.001,-0.001,0.8595470497312677
2013-04-22,721001,-0.0032181593,-0.01941808585710174,0,-0.0,0.0,0.0,-0.0,0.8595470497312677
2013-04-23,721001,-0.0041673263,,0,,0.0,0.0,,
2013-04-24,721001,-0.0011571123,,0,,0.0,0.0,,
2013-04-25,721001,-0.0012666384,-0.020000666706669428,0,-0.0,0.0,0.0,-0.0,0.8595470497312677
2013-04-26,721001,6.208177e-05,-0.010152371464017962,1,-0.010152371464017962,1.0,0.001,-0.01115237146401796,0.8499610617418639
2013-04-29,721001,-0.0010358606,0.0,0,0.0,1.0,0.001,-0.001,0.8491111006801221
2013-04-30,721001,0.0076831235,-0.01025650016718922,1,-0.01025650016718922,1.0,0.001,-0.01125650016718922,0.839553081433354
2013-05-02,721001,-0.0018177687,0.022427035787444424,0,0.0,1.0,0.001,-0.001,0.8387135283519207
