horizon,rmse,mae,directional_accuracy,num_samples,expected_coverage,actual_coverage,coverage_error,avg_ci_width,num_within_ci
1,0.03449556848928686,0.012942297038635371,0.6022106631989597,15380,0.8,0.0,0.8,,0
5,0.03567305537539276,0.014360086819667377,0.5776296005752762,15297,0.8,0.0,0.8,,0
